left_hand_active_crop,right_hand_active_crop,left_hand_active,right_hand_active,iou,time,id,path_l,hand_in_focus
False,False,False,True,0.0,0.0,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,True,False,True,0.0,0.533,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,True,0.0,1.067,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,True,0.0025,1.6,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.3355,2.133,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,False,True,0.811,2.667,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,,3.2,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,,3.733,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.5965,4.267,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,True,0.095,4.8,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0151,5.333,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0157,5.867,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.3563,6.4,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,,6.933,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.279,7.467,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.6692,8.0,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.327,8.533,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,True,False,False,0.0201,9.067,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0072,9.6,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,False,0.0416,10.133,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.592,10.667,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,,11.2,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,,11.733,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,True,0.3845,12.267,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0114,12.8,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0041,13.333,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,True,0.0828,13.867,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,False,True,,14.4,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,,14.933,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.884,15.467,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.3588,16.0,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,True,False,False,0.0019,16.533,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0,17.067,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.2007,17.6,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,,18.133,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,,18.667,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,,19.2,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.003,19.733,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0,20.267,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,True,False,0.0354,20.8,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,,21.333,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,,21.867,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.8322,22.4,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,True,0.3055,22.933,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0,23.467,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,True,0.0,24.0,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.2116,24.533,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.7835,25.067,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,False,True,0.5218,25.6,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,,26.133,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,True,False,True,0.0,26.667,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,True,0.0,27.2,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,True,0.0071,27.733,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,True,0.3668,28.267,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,False,True,0.7548,28.8,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,False,True,0.7974,29.333,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,True,0.2986,29.867,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,True,False,False,0.0,30.4,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,True,False,False,0.0,30.933,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.2835,31.467,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,False,True,0.6094,32.0,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,True,0.3333,32.533,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,True,0.1077,33.067,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0,33.6,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0,34.133,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,True,0.1341,34.667,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.6212,35.2,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.6142,35.733,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,False,True,0.1126,36.267,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,True,False,True,0.0,36.8,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,False,True,0.0,37.333,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.4855,37.867,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.5812,38.4,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,True,0.137,38.933,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,False,0.012,39.467,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0,40.0,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,False,0.0,40.533,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,True,0.1073,41.067,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.4002,41.6,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.4265,42.133,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0259,42.667,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,True,0.0,43.2,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,True,0.1291,43.733,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,False,True,0.8604,44.267,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.745,44.8,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,True,0.3328,45.333,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,True,0.1367,45.867,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0117,46.4,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0231,46.933,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,True,0.093,47.467,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.5088,48.0,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.9313,48.533,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.3558,49.067,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,True,False,True,0.0279,49.6,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0156,50.133,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.1474,50.667,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,False,True,0.77,51.2,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.8614,51.733,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.5883,52.267,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.7334,52.8,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,False,True,True,0.1787,53.333,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0101,53.867,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.2168,54.4,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.6285,54.933,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,False,True,0.9075,55.467,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
True,True,True,True,0.3162,56.0,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
